kegg_gene_id	locus_tag	pathway_id
pae:PA4979	PA4979	pae01212
pae:PA4994	PA4994	pae01212
pae:PA5174	PA5174	pae01212
pae:PA5524	PA5524	pae01212
pae:PA0153	PA0153	pae01220
pae:PA0154	PA0154	pae01220
pae:PA0230	PA0230	pae01220
pae:PA0231	PA0231	pae01220
pae:PA0232	PA0232	pae01220
pae:PA0247	PA0247	pae01220
pae:PA0480	PA0480	pae01220
pae:PA1966	PA1966	pae01220
pae:PA2083	PA2083	pae01220
pae:PA2085	PA2085	pae01220
pae:PA2507	PA2507	pae01220
pae:PA2508	PA2508	pae01220
pae:PA2509	PA2509	pae01220
pae:PA2515	PA2515	pae01220
pae:PA2516	PA2516	pae01220
pae:PA2517	PA2517	pae01220
pae:PA2518	PA2518	pae01220
pae:PA3226	PA3226	pae01220
pae:PA3629	PA3629	pae01220
pae:PA4019	PA4019	pae01220
pae:PA4091	PA4091	pae01220
pae:PA4092	PA4092	pae01220
pae:PA4121	PA4121	pae01220
pae:PA4122	PA4122	pae01220
pae:PA4123	PA4123	pae01220
pae:PA4124	PA4124	pae01220
pae:PA4125	PA4125	pae01220
pae:PA4486	PA4486	pae01220
pae:PA5427	PA5427	pae01220
pae:PA0025	PA0025	pae01230
pae:PA0035	PA0035	pae01230
pae:PA0036	PA0036	pae01230
pae:PA0051	PA0051	pae01230
pae:PA0223	PA0223	pae01230
pae:PA0245	PA0245	pae01230
pae:PA0296	PA0296	pae01230
pae:PA0298	PA0298	pae01230
pae:PA0316	PA0316	pae01230
pae:PA0330	PA0330	pae01230
pae:PA0331	PA0331	pae01230
pae:PA0335	PA0335	pae01230
pae:PA0353	PA0353	pae01230
pae:PA0390	PA0390	pae01230
pae:PA0393	PA0393	pae01230
pae:PA0399	PA0399	pae01230
pae:PA0400	PA0400	pae01230
pae:PA0530	PA0530	pae01230
pae:PA0546	PA0546	pae01230
pae:PA0548	PA0548	pae01230
pae:PA0552	PA0552	pae01230
pae:PA0555	PA0555	pae01230
pae:PA0607	PA0607	pae01230
pae:PA0609	PA0609	pae01230
pae:PA0649	PA0649	pae01230
pae:PA0650	PA0650	pae01230
pae:PA0651	PA0651	pae01230
pae:PA0662	PA0662	pae01230
pae:PA0795	PA0795	pae01230
pae:PA0851	PA0851	pae01230
pae:PA0870	PA0870	pae01230
pae:PA0872	PA0872	pae01230
pae:PA0902	PA0902	pae01230
pae:PA0904	PA0904	pae01230
pae:PA0932	PA0932	pae01230
pae:PA1001	PA1001	pae01230
pae:PA1002	PA1002	pae01230
pae:PA1010	PA1010	pae01230
pae:PA1061	PA1061	pae01230
pae:PA1143	PA1143	pae01230
pae:PA1162	PA1162	pae01230
pae:PA1326	PA1326	pae01230
pae:PA1417	PA1417	pae01230
pae:PA1498	PA1498	pae01230
pae:PA1562	PA1562	pae01230
pae:PA1566	PA1566	pae01230
pae:PA1580	PA1580	pae01230
pae:PA1681	PA1681	pae01230
pae:PA1750	PA1750	pae01230
pae:PA1757	PA1757	pae01230
pae:PA1787	PA1787	pae01230
pae:PA1843	PA1843	pae01230
pae:PA1901	PA1901	pae01230
pae:PA1927	PA1927	pae01230
pae:PA2035	PA2035	pae01230
pae:PA2040	PA2040	pae01230
pae:PA2084	PA2084	pae01230
pae:PA2104	PA2104	pae01230
pae:PA2105	PA2105	pae01230
pae:PA2413	PA2413	pae01230
pae:PA2443	PA2443	pae01230
pae:PA2444	PA2444	pae01230
pae:PA2531	PA2531	pae01230
pae:PA2623	PA2623	pae01230
pae:PA2624	PA2624	pae01230
pae:PA2709	PA2709	pae01230
pae:PA2796	PA2796	pae01230
pae:PA2828	PA2828	pae01230
pae:PA2843	PA2843	pae01230
pae:PA2943	PA2943	pae01230
pae:PA3001	PA3001	pae01230
pae:PA3113	PA3113	pae01230
pae:PA3117	PA3117	pae01230
pae:PA3118	PA3118	pae01230
pae:PA3120	PA3120	pae01230
pae:PA3121	PA3121	pae01230
pae:PA3139	PA3139	pae01230
pae:PA3151	PA3151	pae01230
pae:PA3152	PA3152	pae01230
pae:PA3165	PA3165	pae01230
pae:PA3166	PA3166	pae01230
pae:PA3167	PA3167	pae01230
pae:PA3195	PA3195	pae01230
pae:PA3356	PA3356	pae01230
pae:PA3459	PA3459	pae01230
pae:PA3475	PA3475	pae01230
pae:PA3506	PA3506	pae01230
pae:PA3525	PA3525	pae01230
pae:PA3537	PA3537	pae01230
pae:PA3635	PA3635	pae01230
pae:PA3659	PA3659	pae01230
pae:PA3666	PA3666	pae01230
pae:PA3735	PA3735	pae01230
pae:PA3736	PA3736	pae01230
pae:PA3792	PA3792	pae01230
pae:PA3816	PA3816	pae01230
pae:PA4007	PA4007	pae01230
pae:PA4180	PA4180	pae01230
pae:PA4188	PA4188	pae01230
pae:PA4212	PA4212	pae01230
pae:PA4329	PA4329	pae01230
pae:PA4402	PA4402	pae01230
pae:PA4447	PA4447	pae01230
pae:PA4448	PA4448	pae01230
pae:PA4449	PA4449	pae01230
pae:PA4534	PA4534	pae01230
pae:PA4565	PA4565	pae01230
pae:PA4602	PA4602	pae01230
pae:PA4670	PA4670	pae01230
pae:PA4694	PA4694	pae01230
pae:PA4695	PA4695	pae01230
pae:PA4696	PA4696	pae01230
pae:PA4748	PA4748	pae01230
pae:PA4759	PA4759	pae01230
pae:PA4846	PA4846	pae01230
pae:PA4939	PA4939	pae01230
pae:PA4960	PA4960	pae01230
pae:PA5013	PA5013	pae01230
pae:PA5035	PA5035	pae01230
pae:PA5036	PA5036	pae01230
pae:PA5038	PA5038	pae01230
pae:PA5039	PA5039	pae01230
pae:PA5066	PA5066	pae01230
pae:PA5067	PA5067	pae01230
pae:PA5119	PA5119	pae01230
pae:PA5131	PA5131	pae01230
pae:PA5140	PA5140	pae01230
pae:PA5141	PA5141	pae01230
pae:PA5142	PA5142	pae01230
pae:PA5143	PA5143	pae01230
pae:PA5172	PA5172	pae01230
pae:PA5184	PA5184	pae01230
pae:PA5204	PA5204	pae01230
pae:PA5206	PA5206	pae01230
pae:PA5263	PA5263	pae01230
pae:PA5277	PA5277	pae01230
pae:PA5278	PA5278	pae01230
pae:PA5323	PA5323	pae01230
pae:PA5379	PA5379	pae01230
pae:PA5390	PA5390	pae01230
pae:PA5413	PA5413	pae01230
pae:PA5415	PA5415	pae01230
pae:PA5435	PA5435	pae01230
pae:PA5436	PA5436	pae01230
pae:PA5495	PA5495	pae01230
pae:PA5508	PA5508	pae01230
pae:PA5522	PA5522	pae01230
pae:PA0134	PA0134	pae01232
pae:PA0148	PA0148	pae01232
pae:PA0342	PA0342	pae01232
pae:PA0387	PA0387	pae01232
pae:PA0403	PA0403	pae01232
pae:PA0437	PA0437	pae01232
pae:PA0560	PA0560	pae01232
pae:PA0935	PA0935	pae01232
pae:PA1124	PA1124	pae01232
pae:PA1155	PA1155	pae01232
pae:PA1156	PA1156	pae01232
pae:PA1469	PA1469	pae01232
pae:PA1521	PA1521	pae01232
pae:PA1523	PA1523	pae01232
pae:PA1524	PA1524	pae01232
pae:PA1543	PA1543	pae01232
pae:PA1574	PA1574	pae01232
pae:PA1920	PA1920	pae01232
pae:PA1931	PA1931	pae01232
pae:PA1932	PA1932	pae01232
pae:PA1933	PA1933	pae01232
pae:PA2499	PA2499	pae01232
pae:PA2629	PA2629	pae01232
pae:PA2962	PA2962	pae01232
pae:PA3043	PA3043	pae01232
pae:PA3163	PA3163	pae01232
pae:PA3480	PA3480	pae01232
pae:PA3516	PA3516	pae01232
pae:PA3517	PA3517	pae01232
pae:PA3625	PA3625	pae01232
pae:PA3637	PA3637	pae01232
pae:PA3654	PA3654	pae01232
pae:PA3686	PA3686	pae01232
pae:PA3769	PA3769	pae01232
pae:PA3770	PA3770	pae01232
pae:PA3807	PA3807	pae01232
pae:PA3970	PA3970	pae01232
pae:PA4115	PA4115	pae01232
pae:PA4478	PA4478	pae01232
pae:PA4543	PA4543	pae01232
pae:PA4645	PA4645	pae01232
pae:PA4646	PA4646	pae01232
pae:PA4938	PA4938	pae01232
pae:PA5177	PA5177	pae01232
pae:PA5298	PA5298	pae01232
pae:PA5321	PA5321	pae01232
pae:PA5336	PA5336	pae01232
pae:PA5497	PA5497	pae01232
pae:PA0024	PA0024	pae01240
pae:PA0098	PA0098	pae01240
pae:PA0112	PA0112	pae01240
pae:PA0113	PA0113	pae01240
pae:PA0182	PA0182	pae01240
pae:PA0350	PA0350	pae01240
pae:PA0363	PA0363	pae01240
pae:PA0381	PA0381	pae01240
pae:PA0401	PA0401	pae01240
pae:PA0402	PA0402	pae01240
pae:PA0407	PA0407	pae01240
pae:PA0420	PA0420	pae01240
pae:PA0500	PA0500	pae01240
pae:PA0501	PA0501	pae01240
pae:PA0502	PA0502	pae01240
pae:PA0503	PA0503	pae01240
pae:PA0504	PA0504	pae01240
pae:PA0510	PA0510	pae01240
pae:PA0512	PA0512	pae01240
pae:PA0513	PA0513	pae01240
pae:PA0514	PA0514	pae01240
pae:PA0515	PA0515	pae01240
pae:PA0546	PA0546	pae01240
pae:PA0551	PA0551	pae01240
pae:PA0582	PA0582	pae01240
pae:PA0583	PA0583	pae01240
pae:PA0593	PA0593	pae01240
pae:PA0655	PA0655	pae01240
pae:PA0661	PA0661	pae01240
pae:PA0761	PA0761	pae01240
pae:PA0773	PA0773	pae01240
pae:PA0853	PA0853	pae01240
pae:PA0865	PA0865	pae01240
pae:PA0949	PA0949	pae01240
pae:PA1004	PA1004	pae01240
pae:PA1049	PA1049	pae01240
pae:PA1224	PA1224	pae01240
pae:PA1225	PA1225	pae01240
pae:PA1272	PA1272	pae01240
pae:PA1273	PA1273	pae01240
pae:PA1274	PA1274	pae01240
pae:PA1275	PA1275	pae01240
pae:PA1276	PA1276	pae01240
pae:PA1277	PA1277	pae01240
pae:PA1278	PA1278	pae01240
pae:PA1279	PA1279	pae01240
pae:PA1280	PA1280	pae01240
pae:PA1281	PA1281	pae01240
pae:PA1321	PA1321	pae01240
pae:PA1373	PA1373	pae01240
pae:PA1375	PA1375	pae01240
pae:PA1470	PA1470	pae01240
pae:PA1505	PA1505	pae01240
pae:PA1546	PA1546	pae01240
pae:PA1587	PA1587	pae01240
pae:PA1598	PA1598	pae01240
pae:PA1609	PA1609	pae01240
pae:PA1618	PA1618	pae01240
pae:PA1674	PA1674	pae01240
pae:PA1752	PA1752	pae01240
pae:PA1758	PA1758	pae01240
pae:PA1778	PA1778	pae01240
pae:PA1796	PA1796	pae01240
pae:PA1806	PA1806	pae01240
pae:PA1923	PA1923	pae01240
pae:PA2022	PA2022	pae01240
pae:PA2023	PA2023	pae01240
pae:PA2062	PA2062	pae01240
pae:PA2080	PA2080	pae01240
pae:PA2081	PA2081	pae01240
pae:PA2212	PA2212	pae01240
pae:PA2250	PA2250	pae01240
pae:PA2444	PA2444	pae01240
pae:PA2579	PA2579	pae01240
pae:PA2611	PA2611	pae01240
pae:PA2629	PA2629	pae01240
pae:PA2666	PA2666	pae01240
pae:PA2876	PA2876	pae01240
pae:PA2903	PA2903	pae01240
pae:PA2904	PA2904	pae01240
pae:PA2905	PA2905	pae01240
pae:PA2906	PA2906	pae01240
pae:PA2907	PA2907	pae01240
pae:PA2908	PA2908	pae01240
pae:PA2909	PA2909	pae01240
pae:PA2944	PA2944	pae01240
pae:PA2947	PA2947	pae01240
pae:PA2948	PA2948	pae01240
pae:PA2964	PA2964	pae01240
pae:PA2965	PA2965	pae01240
pae:PA2967	PA2967	pae01240
pae:PA3028	PA3028	pae01240
pae:PA3029	PA3029	pae01240
pae:PA3050	PA3050	pae01240
pae:PA3088	PA3088	pae01240
pae:PA3111	PA3111	pae01240
pae:PA3134	PA3134	pae01240
pae:PA3167	PA3167	pae01240
pae:PA3171	PA3171	pae01240
pae:PA3296	PA3296	pae01240
pae:PA3438	PA3438	pae01240
pae:PA3505	PA3505	pae01240
pae:PA3527	PA3527	pae01240
pae:PA3559	PA3559	pae01240
pae:PA3637	PA3637	pae01240
pae:PA3645	PA3645	pae01240
pae:PA3654	PA3654	pae01240
pae:PA3686	PA3686	pae01240
pae:PA3807	PA3807	pae01240
pae:PA3814	PA3814	pae01240
pae:PA3870	PA3870	pae01240
pae:PA3910	PA3910	pae01240
pae:PA3911	PA3911	pae01240
pae:PA3912	PA3912	pae01240
pae:PA3913	PA3913	pae01240
pae:PA3914	PA3914	pae01240
pae:PA3915	PA3915	pae01240
pae:PA3916	PA3916	pae01240
pae:PA3918	PA3918	pae01240
pae:PA3975	PA3975	pae01240
pae:PA3976	PA3976	pae01240
pae:PA3977	PA3977	pae01240
pae:PA3996	PA3996	pae01240
pae:PA3997	PA3997	pae01240
pae:PA4006	PA4006	pae01240
pae:PA4019	PA4019	pae01240
pae:PA4047	PA4047	pae01240
pae:PA4051	PA4051	pae01240
pae:PA4053	PA4053	pae01240
pae:PA4054	PA4054	pae01240
pae:PA4055	PA4055	pae01240
pae:PA4056	PA4056	pae01240
pae:PA4088	PA4088	pae01240
pae:PA4089	PA4089	pae01240
pae:PA4279	PA4279	pae01240
pae:PA4376	PA4376	pae01240
pae:PA4389	PA4389	pae01240
pae:PA4397	PA4397	pae01240
pae:PA4399	PA4399	pae01240
pae:PA4524	PA4524	pae01240
pae:PA4529	PA4529	pae01240
pae:PA4548	PA4548	pae01240
pae:PA4561	PA4561	pae01240
pae:PA4602	PA4602	pae01240
pae:PA4655	PA4655	pae01240
pae:PA4666	PA4666	pae01240
pae:PA4728	PA4728	pae01240
pae:PA4729	PA4729	pae01240
pae:PA4730	PA4730	pae01240
pae:PA4731	PA4731	pae01240
pae:PA4750	PA4750	pae01240
pae:PA4756	PA4756	pae01240
pae:PA4758	PA4758	pae01240
pae:PA4786	PA4786	pae01240
pae:PA4829	PA4829	pae01240
pae:PA4899	PA4899	pae01240
pae:PA4918	PA4918	pae01240
pae:PA4919	PA4919	pae01240
pae:PA4920	PA4920	pae01240
pae:PA4938	PA4938	pae01240
pae:PA4973	PA4973	pae01240
pae:PA4975	PA4975	pae01240
pae:PA5013	PA5013	pae01240
pae:PA5034	PA5034	pae01240
pae:PA5063	PA5063	pae01240
pae:PA5118	PA5118	pae01240
pae:PA5203	PA5203	pae01240
pae:PA5221	PA5221	pae01240
pae:PA5223	PA5223	pae01240
pae:PA5237	PA5237	pae01240
pae:PA5243	PA5243	pae01240
pae:PA5258	PA5258	pae01240
pae:PA5259	PA5259	pae01240
pae:PA5260	PA5260	pae01240
pae:PA5281	PA5281	pae01240
pae:PA5320	PA5320	pae01240
pae:PA5331	PA5331	pae01240
pae:PA5357	PA5357	pae01240
pae:PA5358	PA5358	pae01240
pae:PA5415	PA5415	pae01240
pae:PA5516	PA5516	pae01240
pae:PA5523	PA5523	pae01240
pae:PA5524	PA5524	pae01240
pae:PA5539	PA5539	pae01240
pae:PA5541	PA5541	pae01240
pae:PA0006	PA0006	pae01250
pae:PA0596	PA0596	pae01250
pae:PA0597	PA0597	pae01250
pae:PA0666	PA0666	pae01250
pae:PA1384	PA1384	pae01250
pae:PA2022	PA2022	pae01250
pae:PA2023	PA2023	pae01250
pae:PA2232	PA2232	pae01250
pae:PA2344	PA2344	pae01250
pae:PA2977	PA2977	pae01250
pae:PA2979	PA2979	pae01250
pae:PA3141	PA3141	pae01250
pae:PA3146	PA3146	pae01250
pae:PA3148	PA3148	pae01250
pae:PA3150	PA3150	pae01250
pae:PA3155	PA3155	pae01250
pae:PA3156	PA3156	pae01250
pae:PA3158	PA3158	pae01250
pae:PA3159	PA3159	pae01250
pae:PA3172	PA3172	pae01250
pae:PA3193	PA3193	pae01250
pae:PA3337	PA3337	pae01250
pae:PA3540	PA3540	pae01250
pae:PA3551	PA3551	pae01250
pae:PA3552	PA3552	pae01250
pae:PA3554	PA3554	pae01250
pae:PA3559	PA3559	pae01250
pae:PA3636	PA3636	pae01250
pae:PA3759	PA3759	pae01250
pae:PA4068	PA4068	pae01250
pae:PA4069	PA4069	pae01250
pae:PA4425	PA4425	pae01250
pae:PA4450	PA4450	pae01250
pae:PA4457	PA4457	pae01250
pae:PA4458	PA4458	pae01250
pae:PA4732	PA4732	pae01250
pae:PA4749	PA4749	pae01250
pae:PA4996	PA4996	pae01250
pae:PA5161	PA5161	pae01250
pae:PA5162	PA5162	pae01250
pae:PA5163	PA5163	pae01250
pae:PA5164	PA5164	pae01250
pae:PA5236	PA5236	pae01250
pae:PA5322	PA5322	pae01250
pae:PA5452	PA5452	pae01250
pae:PA5453	PA5453	pae01250
pae:PA5454	PA5454	pae01250
pae:PA5549	PA5549	pae01250
pae:PA5552	PA5552	pae01250
pae:PA0519	PA0519	pae01310
pae:PA0523	PA0523	pae01310
pae:PA0524	PA0524	pae01310
pae:PA1173	PA1173	pae01310
pae:PA1174	PA1174	pae01310
pae:PA1779	PA1779	pae01310
pae:PA1780	PA1780	pae01310
pae:PA1781	PA1781	pae01310
pae:PA3392	PA3392	pae01310
pae:PA3872	PA3872	pae01310
pae:PA3874	PA3874	pae01310
pae:PA3875	PA3875	pae01310
pae:PA1393	PA1393	pae01320
pae:PA1756	PA1756	pae01320
pae:PA1838	PA1838	pae01320
pae:PA2104	PA2104	pae01320
pae:PA2481	PA2481	pae01320
pae:PA2709	PA2709	pae01320
pae:PA4130	PA4130	pae01320
pae:PA4442	PA4442	pae01320
pae:PA4443	PA4443	pae01320
pae:PA4513	PA4513	pae01320
pae:PA4571	PA4571	pae01320
pae:PA0189	PA0189	pae01501
pae:PA0424	PA0424	pae01501
pae:PA0425	PA0425	pae01501
pae:PA0426	PA0426	pae01501
pae:PA0427	PA0427	pae01501
pae:PA0958	PA0958	pae01501
pae:PA1798	PA1798	pae01501
pae:PA1799	PA1799	pae01501
pae:PA2018	PA2018	pae01501
pae:PA2019	PA2019	pae01501
pae:PA2020	PA2020	pae01501
pae:PA2272	PA2272	pae01501
pae:PA2391	PA2391	pae01501
pae:PA2525	PA2525	pae01501
pae:PA2700	PA2700	pae01501
pae:PA3005	PA3005	pae01501
pae:PA3574	PA3574	pae01501
pae:PA3719	PA3719	pae01501
pae:PA3721	PA3721	pae01501
pae:PA3894	PA3894	pae01501
pae:PA4003	PA4003	pae01501
pae:PA4109	PA4109	pae01501
pae:PA4110	PA4110	pae01501
pae:PA4144	PA4144	pae01501
pae:PA4374	PA4374	pae01501
pae:PA4375	PA4375	pae01501
pae:PA4393	PA4393	pae01501
pae:PA4418	PA4418	pae01501
pae:PA4592	PA4592	pae01501
pae:PA4974	PA4974	pae01501
pae:PA5045	PA5045	pae01501
pae:PA5158	PA5158	pae01501
pae:PA5471	PA5471	pae01501
pae:PA5514	PA5514	pae01501
pae:PA0749	PA0749	pae01502
pae:PA4201	PA4201	pae01502
pae:PA4410	PA4410	pae01502
pae:PA4412	PA4412	pae01502
pae:PA4415	PA4415	pae01502
pae:PA4416	PA4416	pae01502
pae:PA4930	PA4930	pae01502
pae:PA5302	PA5302	pae01502
pae:PA0425	PA0425	pae01503
pae:PA0426	PA0426	pae01503
pae:PA0766	PA0766	pae01503
pae:PA0920	PA0920	pae01503
pae:PA1179	PA1179	pae01503
pae:PA1180	PA1180	pae01503
pae:PA1249	PA1249	pae01503
pae:PA1798	PA1798	pae01503
pae:PA1799	PA1799	pae01503
pae:PA1972	PA1972	pae01503
pae:PA2854	PA2854	pae01503
pae:PA3204	PA3204	pae01503
pae:PA3227	PA3227	pae01503
pae:PA3310	PA3310	pae01503
pae:PA3552	PA3552	pae01503
pae:PA3553	PA3553	pae01503
pae:PA3554	PA3554	pae01503
pae:PA3555	PA3555	pae01503
pae:PA3556	PA3556	pae01503
pae:PA3557	PA3557	pae01503
pae:PA3558	PA3558	pae01503
pae:PA3644	PA3644	pae01503
pae:PA3724	PA3724	pae01503
pae:PA4144	PA4144	pae01503
pae:PA4374	PA4374	pae01503
pae:PA4375	PA4375	pae01503
pae:PA4592	PA4592	pae01503
pae:PA4947	PA4947	pae01503
pae:PA4974	PA4974	pae01503
pae:PA5489	PA5489	pae01503
pae:PA5538	PA5538	pae01503
pae:PA0030	PA0030	pae02010
pae:PA0136	PA0136	pae02010
pae:PA0137	PA0137	pae02010
pae:PA0138	PA0138	pae02010
pae:PA0146	PA0146	pae02010
pae:PA0184	PA0184	pae02010
pae:PA0185	PA0185	pae02010
pae:PA0186	PA0186	pae02010
pae:PA0203	PA0203	pae02010
pae:PA0204	PA0204	pae02010
pae:PA0205	PA0205	pae02010
pae:PA0206	PA0206	pae02010
pae:PA0280	PA0280	pae02010
pae:PA0281	PA0281	pae02010
pae:PA0282	PA0282	pae02010
pae:PA0283	PA0283	pae02010
pae:PA0295	PA0295	pae02010
pae:PA0300	PA0300	pae02010
pae:PA0301	PA0301	pae02010
pae:PA0302	PA0302	pae02010
pae:PA0303	PA0303	pae02010
pae:PA0304	PA0304	pae02010
pae:PA0313	PA0313	pae02010
pae:PA0314	PA0314	pae02010
pae:PA0323	PA0323	pae02010
pae:PA0324	PA0324	pae02010
pae:PA0325	PA0325	pae02010
pae:PA0326	PA0326	pae02010
pae:PA0374	PA0374	pae02010
pae:PA0375	PA0375	pae02010
pae:PA0888	PA0888	pae02010
pae:PA0889	PA0889	pae02010
pae:PA0890	PA0890	pae02010
pae:PA0892	PA0892	pae02010
pae:PA1070	PA1070	pae02010
pae:PA1071	PA1071	pae02010
pae:PA1072	PA1072	pae02010
pae:PA1073	PA1073	pae02010
pae:PA1074	PA1074	pae02010
pae:PA1246	PA1246	pae02010
pae:PA1256	PA1256	pae02010
pae:PA1257	PA1257	pae02010
pae:PA1258	PA1258	pae02010
pae:PA1260	PA1260	pae02010
pae:PA1339	PA1339	pae02010
pae:PA1340	PA1340	pae02010
pae:PA1341	PA1341	pae02010
pae:PA1342	PA1342	pae02010
pae:PA1386	PA1386	pae02010
pae:PA1410	PA1410	pae02010
pae:PA1475	PA1475	pae02010
pae:PA1476	PA1476	pae02010
pae:PA1477	PA1477	pae02010
pae:PA1478	PA1478	pae02010
pae:PA1493	PA1493	pae02010
pae:PA1807	PA1807	pae02010
pae:PA1808	PA1808	pae02010
pae:PA1809	PA1809	pae02010
pae:PA1810	PA1810	pae02010
pae:PA1811	PA1811	pae02010
pae:PA1861	PA1861	pae02010
pae:PA1862	PA1862	pae02010
pae:PA1863	PA1863	pae02010
pae:PA1876	PA1876	pae02010
pae:PA1946	PA1946	pae02010
pae:PA1947	PA1947	pae02010
pae:PA1948	PA1948	pae02010
pae:PA2058	PA2058	pae02010
pae:PA2059	PA2059	pae02010
pae:PA2060	PA2060	pae02010
pae:PA2061	PA2061	pae02010
pae:PA2294	PA2294	pae02010
pae:PA2295	PA2295	pae02010
pae:PA2296	PA2296	pae02010
pae:PA2307	PA2307	pae02010
pae:PA2308	PA2308	pae02010
pae:PA2309	PA2309	pae02010
pae:PA2338	PA2338	pae02010
pae:PA2339	PA2339	pae02010
pae:PA2340	PA2340	pae02010
pae:PA2341	PA2341	pae02010
pae:PA2349	PA2349	pae02010
pae:PA2350	PA2350	pae02010
pae:PA2351	PA2351	pae02010
pae:PA2390	PA2390	pae02010
pae:PA2397	PA2397	pae02010
pae:PA2407	PA2407	pae02010
pae:PA2408	PA2408	pae02010
pae:PA2409	PA2409	pae02010
pae:PA2548	PA2548	pae02010
pae:PA2592	PA2592	pae02010
pae:PA2594	PA2594	pae02010
pae:PA2595	PA2595	pae02010
pae:PA2596	PA2596	pae02010
pae:PA2599	PA2599	pae02010
pae:PA2678	PA2678	pae02010
pae:PA2711	PA2711	pae02010
pae:PA2923	PA2923	pae02010
pae:PA2924	PA2924	pae02010
pae:PA2925	PA2925	pae02010
pae:PA2926	PA2926	pae02010
pae:PA2986	PA2986	pae02010
pae:PA2987	PA2987	pae02010
pae:PA2988	PA2988	pae02010
pae:PA3187	PA3187	pae02010
pae:PA3188	PA3188	pae02010
pae:PA3189	PA3189	pae02010
pae:PA3190	PA3190	pae02010
pae:PA3211	PA3211	pae02010
pae:PA3212	PA3212	pae02010
pae:PA3213	PA3213	pae02010
pae:PA3228	PA3228	pae02010
pae:PA3236	PA3236	pae02010
pae:PA3313	PA3313	pae02010
pae:PA3314	PA3314	pae02010
pae:PA3315	PA3315	pae02010
pae:PA3316	PA3316	pae02010
pae:PA3364	PA3364	pae02010
pae:PA3382	PA3382	pae02010
pae:PA3383	PA3383	pae02010
pae:PA3384	PA3384	pae02010
pae:PA3394	PA3394	pae02010
pae:PA3395	PA3395	pae02010
pae:PA3406	PA3406	pae02010
pae:PA3442	PA3442	pae02010
pae:PA3443	PA3443	pae02010
pae:PA3445	PA3445	pae02010
pae:PA3447	PA3447	pae02010
pae:PA3448	PA3448	pae02010
pae:PA3449	PA3449	pae02010
pae:PA3538	PA3538	pae02010
pae:PA3607	PA3607	pae02010
pae:PA3608	PA3608	pae02010
pae:PA3609	PA3609	pae02010
pae:PA3610	PA3610	pae02010
pae:PA3827	PA3827	pae02010
pae:PA3828	PA3828	pae02010
pae:PA3858	PA3858	pae02010
pae:PA3865	PA3865	pae02010
pae:PA3888	PA3888	pae02010
pae:PA3889	PA3889	pae02010
pae:PA3890	PA3890	pae02010
pae:PA3891	PA3891	pae02010
pae:PA3931	PA3931	pae02010
pae:PA3936	PA3936	pae02010
pae:PA3937	PA3937	pae02010
pae:PA3938	PA3938	pae02010
pae:PA4045	PA4045	pae02010
pae:PA4143	PA4143	pae02010
pae:PA4158	PA4158	pae02010
pae:PA4159	PA4159	pae02010
pae:PA4160	PA4160	pae02010
pae:PA4161	PA4161	pae02010
pae:PA4452	PA4452	pae02010
pae:PA4453	PA4453	pae02010
pae:PA4454	PA4454	pae02010
pae:PA4455	PA4455	pae02010
pae:PA4456	PA4456	pae02010
pae:PA4461	PA4461	pae02010
pae:PA4496	PA4496	pae02010
pae:PA4497	PA4497	pae02010
pae:PA4500	PA4500	pae02010
pae:PA4502	PA4502	pae02010
pae:PA4503	PA4503	pae02010
pae:PA4504	PA4504	pae02010
pae:PA4505	PA4505	pae02010
pae:PA4506	PA4506	pae02010
pae:PA4687	PA4687	pae02010
pae:PA4688	PA4688	pae02010
pae:PA4858	PA4858	pae02010
pae:PA4859	PA4859	pae02010
pae:PA4860	PA4860	pae02010
pae:PA4861	PA4861	pae02010
pae:PA4862	PA4862	pae02010
pae:PA4909	PA4909	pae02010
pae:PA4910	PA4910	pae02010
pae:PA4911	PA4911	pae02010
pae:PA4912	PA4912	pae02010
pae:PA4913	PA4913	pae02010
pae:PA4997	PA4997	pae02010
pae:PA5094	PA5094	pae02010
pae:PA5095	PA5095	pae02010
pae:PA5096	PA5096	pae02010
pae:PA5103	PA5103	pae02010
pae:PA5152	PA5152	pae02010
pae:PA5153	PA5153	pae02010
pae:PA5154	PA5154	pae02010
pae:PA5155	PA5155	pae02010
pae:PA5216	PA5216	pae02010
pae:PA5217	PA5217	pae02010
pae:PA5317	PA5317	pae02010
pae:PA5366	PA5366	pae02010
pae:PA5367	PA5367	pae02010
pae:PA5368	PA5368	pae02010
pae:PA5369	PA5369	pae02010
pae:PA5376	PA5376	pae02010
pae:PA5377	PA5377	pae02010
pae:PA5378	PA5378	pae02010
pae:PA5388	PA5388	pae02010
pae:PA5450	PA5450	pae02010
pae:PA5451	PA5451	pae02010
pae:PA5498	PA5498	pae02010
pae:PA5500	PA5500	pae02010
pae:PA5501	PA5501	pae02010
pae:PA5503	PA5503	pae02010
pae:PA5504	PA5504	pae02010
pae:PA5505	PA5505	pae02010
pae:PA0001	PA0001	pae02020
pae:PA0034	PA0034	pae02020
pae:PA0112	PA0112	pae02020
pae:PA0119	PA0119	pae02020
pae:PA0150	PA0150	pae02020
pae:PA0173	PA0173	pae02020
pae:PA0175	PA0175	pae02020
pae:PA0176	PA0176	pae02020
pae:PA0177	PA0177	pae02020
pae:PA0178	PA0178	pae02020
pae:PA0179	PA0179	pae02020
