,ID,Gene,VF,Source_Organism
0,>VFG037170(gb|WP_001081754),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii 1656-2
1,>VFG037177(gb|WP_000632986),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ACICU
2,>VFG037172(gb|WP_001081748),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii AB0057
3,>VFG037173(gb|WP_000633004),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii AB0057
4,>VFG037176(gb|WP_001081735),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ACICU
5,>VFG037178(gb|YP_001083140),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ATCC 17978
6,>VFG037179(gb|YP_001085084),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii ATCC 17978
7,>VFG037182(gb|WP_001081755),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB07104
8,>VFG037184(gb|WP_001081758),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0715
9,>VFG037185(gb|WP_020753227),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0715
10,>VFG037186(gb|WP_001081765),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0868
11,>VFG037188(gb|WP_001081762),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii D1279779
12,>VFG037189(gb|WP_000632992),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii D1279779
13,>VFG037194(gb|WP_001081740),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii SDF
14,>VFG037195(gb|WP_000633005),(plc2) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii SDF
15,>VFG037196(gb|YP_005796961),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii TCDC-AB0715
16,>VFG037198(gb|WP_001081736),(plc1) phospholipase C,Phospholipase C (VF0470) - Exotoxin (VFC0235),Acinetobacter baumannii TYTH-1
17,>VFG037203(gb|WP_000079188),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii ACICU
18,>VFG037201(gb|WP_000079186),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii AB0057
19,>VFG037204(gb|YP_001085994),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii ATCC 17978
20,>VFG037207(gb|WP_000079188),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii BJAB0715
21,>VFG037209(gb|WP_000079185),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii D1279779
22,>VFG037212(gb|WP_000079187),(plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase,Phospholipase D (VF0469) - Exotoxin (VFC0235),Acinetobacter baumannii SDF
23,>VFG037218(gb|WP_000983821),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
24,>VFG037216(gb|WP_000983826),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
25,>VFG037219(gb|YP_001085393),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
26,>VFG037222(gb|WP_000983827),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
27,>VFG037224(gb|WP_000983828),(basJ) acinetobactin biosynthesis protein BasJ,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
28,>VFG037232(gb|WP_001093095),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
29,>VFG037230(gb|WP_001093105),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
30,>VFG037231,(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
31,>VFG037233(gb|YP_001085394),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
32,>VFG037236(gb|WP_001093099),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
33,>VFG037238(gb|WP_001093106),(basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
34,>VFG037243(gb|WP_001032913),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
35,>VFG037244(gb|WP_001032905),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
36,>VFG037246(gb|WP_001032906),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
37,>VFG037247(gb|YP_001085395),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
38,>VFG037250(gb|WP_020753355),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
39,>VFG037252(gb|WP_001032911),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
40,>VFG037255(gb|YP_005799703),(basH) non-ribosomal peptide biosynthesis thioesterase BasH,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii TCDC-AB0715
41,>VFG037260(gb|WP_001095752),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
42,>VFG037258(gb|WP_001090101),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
43,>VFG037261(gb|YP_001085396),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
44,>VFG037264(gb|WP_020753356),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
45,>VFG037266(gb|WP_001090102),(barB) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
46,>VFG037271,(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
47,>VFG037272(gb|WP_001281555),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
48,>VFG037273(gb|WP_001281554),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
49,>VFG037274(gb|WP_001281538),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
50,>VFG037275(gb|YP_001085399),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
51,>VFG037277(gb|WP_031967279),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB07104
52,>VFG037278(gb|WP_139161447),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
53,>VFG037280(gb|WP_001281545),(barA) siderophore efflux system of the ABC superfamily,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
54,>VFG037288(gb|WP_000603876),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
55,>VFG037286(gb|WP_000603880),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
56,>VFG037289(gb|YP_001085400),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
57,>VFG037292(gb|WP_000603878),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
58,>VFG037294(gb|WP_000603864),(basG) acinetobactin biosynthesis protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
59,>VFG037302(gb|WP_001018264),(basF) aryl carrier protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
60,>VFG037300(gb|WP_001018265),(basF) aryl carrier protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
61,>VFG037303(gb|YP_001085401),(basF) aryl carrier protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
62,>VFG037306(gb|WP_001018266),(basF) aryl carrier protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
63,>VFG037308(gb|WP_001018257),(basF) aryl carrier protein BasF,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
64,>VFG037313(gb|WP_000744364),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
65,>VFG037314(gb|WP_000744369),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
66,>VFG037315(gb|WP_000744371),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
67,>VFG037316(gb|WP_000744381),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
68,>VFG037317(gb|YP_001085402),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
69,>VFG037320(gb|WP_020753358),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
70,>VFG037322(gb|WP_000744367),(entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
71,>VFG037330(gb|WP_001177743),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
72,>VFG037328(gb|WP_001177728),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
73,>VFG037329(gb|WP_001177727),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
74,>VFG037331(gb|YP_001085404),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
75,>VFG037333(gb|WP_138140467),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB07104
76,>VFG037334(gb|WP_086225834),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
77,>VFG037336(gb|WP_001177738),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
78,>VFG037339(gb|YP_005799710),(basD) acinetobactin biosynthesis protein BasD,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii TCDC-AB0715
79,>VFG037344(gb|WP_000717759),(basC) acinetobactin biosynthesis protein BasC,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
80,>VFG037342(gb|WP_000717756),(basC) acinetobactin biosynthesis protein BasC,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
81,>VFG037345(gb|YP_001085405),(basC) acinetobactin biosynthesis protein BasC,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
82,>VFG037348(gb|WP_000717757),(basC) acinetobactin biosynthesis protein BasC,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
83,>VFG037350(gb|WP_000717753),(basC) acinetobactin biosynthesis protein BasC,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
84,>VFG037355(gb|WP_001073031),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
85,>VFG037356(gb|WP_001016286),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
86,>VFG037357(gb|WP_001016285),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
87,>VFG037358(gb|WP_001073030),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
88,>VFG037359(gb|YP_001085406),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
89,>VFG037362(gb|WP_020753359),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
90,>VFG037364(gb|WP_043961076),(bauA) TonB-dependent siderophore receptor BauA,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
91,>VFG037372(gb|WP_001104139),"(bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
92,>VFG037370(gb|WP_001104131),"(bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
93,>VFG037373(gb|YP_001085407),"(bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
94,>VFG037376(gb|WP_001104132),"(bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
95,>VFG037378(gb|WP_001104132),"(bauB) ferric siderophore ABC transporter, periplasmic siderophore-binding protein",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
96,>VFG037386(gb|WP_000582115),"(bauE) ferric siderophore ABC transporter, ATP-binding protein BauE",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
97,>VFG037384(gb|WP_000582117),"(bauE) ferric siderophore ABC transporter, ATP-binding protein BauE",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
98,>VFG037387(gb|YP_001085408),"(bauE) ferric siderophore ABC transporter, ATP-binding protein BauE",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
99,>VFG037390(gb|WP_000582116),"(bauE) ferric siderophore ABC transporter, ATP-binding protein BauE",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
100,>VFG037392(gb|WP_000582124),"(bauE) ferric siderophore ABC transporter, ATP-binding protein BauE",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
101,>VFG037395(gb|YP_005799714),"(bauE) ferric siderophore ABC transporter, ATP-binding protein BauE",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii TCDC-AB0715
102,>VFG037400(gb|WP_001223274),"(bauC) ferric siderophore ABC transporter, permease protein BauC",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
103,>VFG037398(gb|WP_001223285),"(bauC) ferric siderophore ABC transporter, permease protein BauC",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
104,>VFG037401(gb|YP_001085409),"(bauC) ferric siderophore ABC transporter, permease protein BauC",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
105,>VFG037404(gb|WP_001223271),"(bauC) ferric siderophore ABC transporter, permease protein BauC",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
106,>VFG037406(gb|WP_001223281),"(bauC) ferric siderophore ABC transporter, permease protein BauC",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
107,>VFG037411(gb|WP_001210787),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
108,>VFG037412(gb|WP_001210792),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
109,>VFG037414(gb|WP_012391956),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
110,>VFG037415(gb|YP_001085410),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
111,>VFG037417(gb|WP_085916975),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB07104
112,>VFG037418(gb|WP_020753360),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
113,>VFG037420(gb|WP_001210792),"(bauD) ferric siderophore ABC transporter, permease protein BauD",Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
114,>VFG037428(gb|WP_000939834),(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
115,>VFG037426(gb|WP_085920665),(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
116,>VFG037427,(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
117,>VFG037429(gb|YP_001085411),(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
118,>VFG037432(gb|WP_139161446),(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
119,>VFG037433(gb|WP_000939834),(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0868
120,>VFG037434(gb|WP_000939848),(basB) non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
121,>VFG037442(gb|WP_000910253),(basA) acinetobactin biosynthesis protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
122,>VFG037440(gb|WP_000910246),(basA) acinetobactin biosynthesis protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
123,>VFG037443(gb|YP_001085412),(basA) acinetobactin biosynthesis protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
124,>VFG037446(gb|WP_000910243),(basA) acinetobactin biosynthesis protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
125,>VFG037448(gb|WP_000910262),(basA) acinetobactin biosynthesis protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
126,>VFG037456(gb|WP_000160878),(bauF) siderophore-interacting protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
127,>VFG037454(gb|WP_000160888),(bauF) siderophore-interacting protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
128,>VFG037455(gb|WP_000160888),(bauF) siderophore-interacting protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
129,>VFG037457(gb|YP_001085413),(bauF) siderophore-interacting protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
130,>VFG037460(gb|WP_000160884),(bauF) siderophore-interacting protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
131,>VFG037462(gb|WP_000160883),(bauF) siderophore-interacting protein,Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
132,>VFG037467(gb|WP_001105559),(ABK1_RS04735) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii 1656-2
133,>VFG037468(gb|WP_001105542),(AB57_RS05095) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
134,>VFG037469(gb|WP_001105542),(ABBFA_RS13345) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB307-0294
135,>VFG037470(gb|WP_001105554),(ACICU_RS04565) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
136,>VFG037471(gb|YP_001083951),(A1S_0917) transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ATCC 17978
137,>VFG037474(gb|WP_001105562),(BJAB0715_RS05225) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
138,>VFG037476(gb|WP_001105546),(ABD1_RS04515) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii D1279779
139,>VFG037478(gb|WP_001105560),(ABZJ_RS11145) LysR family transcriptional regulator,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii MDR-ZJ06
140,>VFG037481(gb|WP_014538316),(AB57_RS05100) sigma-70 family RNA polymerase sigma factor,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
141,>VFG037482(gb|WP_004748062),(ACICU_RS04570) sigma-70 family RNA polymerase sigma factor,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
142,>VFG037483(gb|WP_002036559),(BJAB0715_RS05230) sigma-70 family RNA polymerase sigma factor,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
143,>VFG037486(gb|WP_134815916),(ABSDF_RS10835) sigma-70 family RNA polymerase sigma factor,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii SDF
144,>VFG037489(gb|WP_001240502),(AB57_RS05105) FecR domain-containing protein,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
145,>VFG037490(gb|WP_001240499),(ACICU_RS04575) FecR domain-containing protein,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii ACICU
146,>VFG037491(gb|WP_001240501),(BJAB0715_RS05235) FecR domain-containing protein,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii BJAB0715
147,>VFG037496(gb|WP_085920715),(AB57_RS05110) TonB-dependent receptor,HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272),Acinetobacter baumannii AB0057
