VFG_ID,VF_category,VFC_ID,VF_name,VF_ID
VFG044103,Nutritional/Metabolic factor,VFC0272,Direct heme uptake system,VF0941
VFG044104,Nutritional/Metabolic factor,VFC0272,Direct heme uptake system,VF0941
VFG014681,Motility,VFC0204,Flagella,VF0273
VFG042738,Adherence,VFC0001,Type IV pili,VF0082
VFG000141,Immune modulation,VFC0258,LPS,VF0085
VFG000139,Immune modulation,VFC0258,LPS,VF0085
VFG000142,Immune modulation,VFC0258,LPS,VF0085
VFG000143,Immune modulation,VFC0258,LPS,VF0085
VFG001222,Adherence,VFC0001,Type IV pili,VF0082
VFG051661,Effector delivery system,VFC0086,HSI-3 T6SS secreted effectors,VF1350
VFG042297,Effector delivery system,VFC0086,EstA,VF0942
VFG000120,Biofilm,VFC0271,Alginate,VF0091
VFG014893,Biofilm,VFC0271,Alginate,VF0091
VFG000116,Biofilm,VFC0271,Alginate,VF0091
