Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
G3XCX3	PILU_PSEAE	pilU PA0396	PA0396	Type IV pilus ATPase PilU	GO:0005524; GO:0005737; GO:0016887; GO:0016888; GO:0043107	type IV pilus-dependent motility [GO:0043107]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA endonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	cytoplasm [GO:0005737]
G3XD01	WBPD_PSEAE	wbpD PA3156	PA3156	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase (UDP-D-GlcNAc3NA N-acetyltransferase) (EC 2.3.1.201) (UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronic acid 3-N-acetyltransferase)	GO:0000271; GO:0006065; GO:0009243; GO:0016407; GO:0016746; GO:0070206; GO:0071555	cell wall organization [GO:0071555]; O antigen biosynthetic process [GO:0009243]; polysaccharide biosynthetic process [GO:0000271]; protein trimerization [GO:0070206]; UDP-glucuronate biosynthetic process [GO:0006065]	acetyltransferase activity [GO:0016407]; acyltransferase activity [GO:0016746]	
G3XDA8	PSTS_PSEAE	pstS PA5369	PA5369	Phosphate-binding protein PstS	GO:0005576; GO:0006817; GO:0007155; GO:0042301; GO:0042597; GO:0044010	cell adhesion [GO:0007155]; phosphate ion transport [GO:0006817]; single-species biofilm formation [GO:0044010]	phosphate ion binding [GO:0042301]	extracellular region [GO:0005576]; periplasmic space [GO:0042597]
O30508	ARUC_PSEAE	aruC argD astC PA0895	PA0895	Succinylornithine transaminase/acetylornithine aminotransferase (ACOAT) (SOAT) (Succinylornithine aminotransferase) (EC 2.6.1.11) (EC 2.6.1.81)	GO:0003992; GO:0005737; GO:0006526; GO:0006527; GO:0019545; GO:0030170; GO:0042802; GO:0043825	L-arginine biosynthetic process [GO:0006526]; L-arginine catabolic process [GO:0006527]; L-arginine catabolic process to succinate [GO:0019545]	identical protein binding [GO:0042802]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; succinylornithine transaminase activity [GO:0043825]	cytoplasm [GO:0005737]
O52762	CATA_PSEAE	katA PA4236	PA4236	Catalase A (EC 1.11.1.6)	GO:0004096; GO:0005737; GO:0020037; GO:0042542; GO:0042744; GO:0046872	hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P26276	ALGC_PSEAE	algC PA5322	PA5322	Phosphomannomutase/phosphoglucomutase (PMM / PGM) (EC 5.4.2.2) (EC 5.4.2.8)	GO:0000287; GO:0004614; GO:0004615; GO:0009243; GO:0009244; GO:0009298; GO:0042121	alginic acid biosynthetic process [GO:0042121]; GDP-mannose biosynthetic process [GO:0009298]; lipopolysaccharide core region biosynthetic process [GO:0009244]; O antigen biosynthetic process [GO:0009243]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; phosphomannomutase activity [GO:0004615]	
P32265	NFXB_PSEAE	nfxB PA4600	PA4600	HTH-type transcriptional regulator NfxB	GO:0000976; GO:0001217; GO:0003700; GO:0006351; GO:0006355; GO:0032410; GO:0032993; GO:0045892	DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transporter activity [GO:0032410]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
P32722	PORD_PSEAE	oprD occD1 PA0958	PA0958	Porin D (EC 3.4.21.-) (Imipenem/basic amino acid-specific outer membrane pore) (Outer membrane carboxylate channel D1) (OccD1) (Outer membrane protein D2)	GO:0006508; GO:0006811; GO:0008236; GO:0009279; GO:0015288; GO:0015802; GO:0019867; GO:0046930	basic amino acid transport [GO:0015802]; monoatomic ion transport [GO:0006811]; proteolysis [GO:0006508]	porin activity [GO:0015288]; serine-type peptidase activity [GO:0008236]	cell outer membrane [GO:0009279]; outer membrane [GO:0019867]; pore complex [GO:0046930]
P38100	CARB_PSEAE	carB PA4756	PA4756	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006536; GO:0006541; GO:0044205; GO:0046872; GO:0071230	'de novo' UMP biosynthetic process [GO:0044205]; cellular response to amino acid stimulus [GO:0071230]; glutamate metabolic process [GO:0006536]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P48636	LOGH_PSEAE	PA4923	PA4923	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (AMP nucleosidase) (EC 3.2.2.4) (PaLOG)	GO:0005829; GO:0008714; GO:0009691; GO:0016799; GO:0102682	cytokinin biosynthetic process [GO:0009691]	AMP nucleosidase activity [GO:0008714]; cytokinin riboside 5'-monophosphate phosphoribohydrolase activity [GO:0102682]; hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]	cytosol [GO:0005829]
P52477	MEXA_PSEAE	mexA PA0425	PA0425	Multidrug resistance protein MexA	GO:0005886; GO:0009636; GO:0015562; GO:0042802; GO:0042908; GO:0046677; GO:0051260	protein homooligomerization [GO:0051260]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; xenobiotic transport [GO:0042908]	efflux transmembrane transporter activity [GO:0015562]; identical protein binding [GO:0042802]	plasma membrane [GO:0005886]
P55222	VFR_PSEAE	vfr PA0652	PA0652	cAMP-activated global transcriptional regulator Vfr	GO:0000976; GO:0001216; GO:0001217; GO:0003700; GO:0005829; GO:0006351; GO:0030552; GO:0032993; GO:0043565; GO:0045893	DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]	cAMP binding [GO:0030552]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
Q00516	GSPI_PSEAE	xcpV pddC PA3099	PA3099	Type II secretion system protein I (T2SS minor pseudopilin I) (General secretion pathway protein I) (PilD-dependent protein PddC)	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]		plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
Q00517	GSPJ_PSEAE	xcpW pddD PA3098	PA3098	Type II secretion system protein J (T2SS protein J) (General secretion pathway protein J) (PilD-dependent protein PddD)	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]		plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
Q06198	RPSH_PSEAE	algU algT PA0762	PA0762	RNA polymerase sigma-H factor (Sigma-30)	GO:0000345; GO:0000976; GO:0001216; GO:0006352; GO:0006355; GO:0016987; GO:0032885; GO:0032993; GO:0036460; GO:0042121; GO:0045893; GO:0071236; GO:1900036; GO:1900189; GO:1900233; GO:1902201; GO:1902884	alginic acid biosynthetic process [GO:0042121]; cellular response to antibiotic [GO:0071236]; cellular response to cell envelope stress [GO:0036460]; DNA-templated transcription initiation [GO:0006352]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]; positive regulation of cell adhesion involved in single-species biofilm formation [GO:1900189]; positive regulation of cellular response to heat [GO:1900036]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of response to oxidative stress [GO:1902884]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]; regulation of DNA-templated transcription [GO:0006355]; regulation of polysaccharide biosynthetic process [GO:0032885]	DNA-binding transcription activator activity [GO:0001216]; sigma factor activity [GO:0016987]; transcription cis-regulatory region binding [GO:0000976]	cytosolic DNA-directed RNA polymerase complex [GO:0000345]; protein-DNA complex [GO:0032993]
Q51397	OPRJ_PSEAE	oprJ oprK PA4597	PA4597	Outer membrane protein OprJ	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0046677; GO:0055085	response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]	efflux transmembrane transporter activity [GO:0015562]; transmembrane transporter activity [GO:0022857]	cell outer membrane [GO:0009279]; membrane [GO:0016020]
Q9HT99	ARMZ_PSEAE	armZ PA5471	PA5471	Antirepressor ArmZ (Antirepressor MexZ) (Putative 3'-phosphate/5'-hydroxy nucleic acid ligase) (EC 6.5.1.8)	GO:0005525; GO:0006388; GO:0032411; GO:0042245; GO:0046677; GO:0046872; GO:0170057	positive regulation of transporter activity [GO:0032411]; response to antibiotic [GO:0046677]; RNA repair [GO:0042245]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	GTP binding [GO:0005525]; metal ion binding [GO:0046872]; RNA ligase (GTP) activity [GO:0170057]	
Q9HTH8	LCDH_PSEAE	cdhA PA5386	PA5386	L-carnitine dehydrogenase (CDH) (L-CDH) (EC 1.1.1.108)	GO:0005737; GO:0006631; GO:0016491; GO:0042413; GO:0047728; GO:0070403	carnitine catabolic process [GO:0042413]; fatty acid metabolic process [GO:0006631]	carnitine 3-dehydrogenase activity [GO:0047728]; NAD+ binding [GO:0070403]; oxidoreductase activity [GO:0016491]	cytoplasm [GO:0005737]
Q9HTQ0	DADA1_PSEAE	dadA1 dadA PA5304	PA5304	D-amino acid dehydrogenase 1 (EC 1.4.99.-) (D-alanine dehydrogenase 1)	GO:0005737; GO:0005886; GO:0008718; GO:0055130	D-alanine catabolic process [GO:0055130]	D-amino-acid dehydrogenase activity [GO:0008718]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q9HU77	HUTF_PSEAE	hutF PA5106	PA5106	Formimidoylglutamate deiminase (EC 3.5.3.13) (Formiminoglutamate deiminase) (N-formimino-L-glutamate deiminase) (N-formimino-L-glutamate iminohydrolase)	GO:0005829; GO:0006548; GO:0019239; GO:0019556; GO:0019557; GO:0046872; GO:0050416	L-histidine catabolic process [GO:0006548]; L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]	deaminase activity [GO:0019239]; formimidoylglutamate deiminase activity [GO:0050416]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
Q9HUG6	WAAL_PSEAE	waaL PA4999	PA4999	O-antigen ligase (O-Ag ligase) (EC 2.4.99.26)	GO:0000271; GO:0005886; GO:0008754; GO:0009243; GO:0009244; GO:0009297; GO:0016757; GO:0016874; GO:0043107; GO:0044780; GO:0071977; GO:0098567	bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent swimming motility [GO:0071977]; lipopolysaccharide core region biosynthetic process [GO:0009244]; O antigen biosynthetic process [GO:0009243]; pilus assembly [GO:0009297]; polysaccharide biosynthetic process [GO:0000271]; type IV pilus-dependent motility [GO:0043107]	glycosyltransferase activity [GO:0016757]; ligase activity [GO:0016874]; O-antigen ligase activity [GO:0008754]	periplasmic side of plasma membrane [GO:0098567]; plasma membrane [GO:0005886]
Q9HVD1	PAGL_PSEAE	pagL PA4661	PA4661	Lipid A deacylase PagL (EC 3.1.1.77) (LPS 3-O-deacylase PagL) (Outer membrane enzyme PagL) (PhoP/PhoQ-activated gene product L)	GO:0008653; GO:0009279; GO:0016020; GO:0042803; GO:0046493; GO:0050528	lipid A metabolic process [GO:0046493]; lipopolysaccharide metabolic process [GO:0008653]	acyloxyacyl hydrolase activity [GO:0050528]; protein homodimerization activity [GO:0042803]	cell outer membrane [GO:0009279]; membrane [GO:0016020]
Q9HXJ2	PILF_PSEAE	pilF PA3805	PA3805	Type IV pilus assembly protein PilF	GO:0009279; GO:0009297; GO:0030911; GO:0043107; GO:0043683; GO:0046903	pilus assembly [GO:0009297]; secretion [GO:0046903]; type IV pilus assembly [GO:0043683]; type IV pilus-dependent motility [GO:0043107]	TPR domain binding [GO:0030911]	cell outer membrane [GO:0009279]
Q9HY79	BFRB_PSEAE	bfrB PA3531	PA3531	Bacterioferritin BfrB (EC 1.16.3.1) (Bacterioferritin beta subunit) (BFR beta subunit) (Nonheme-iron-containing cytochrome b557)	GO:0004322; GO:0005506; GO:0005829; GO:0006826; GO:0006879; GO:0008199; GO:0020037; GO:0070288; GO:0140315	intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; iron ion sequestering activity [GO:0140315]	cytosol [GO:0005829]; ferritin complex [GO:0070288]
Q9HYT3	NBDA_PSEAE	nbdA PA3311	PA3311	Cyclic di-GMP phosphodiesterase NbdA (EC 3.1.4.52) (NO-induced biofilm dispersion locus A)	GO:0005886; GO:0046872; GO:0071111; GO:0071732; GO:1900190	cellular response to nitric oxide [GO:0071732]; regulation of single-species biofilm formation [GO:1900190]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
Q9I191	PVDR_PSEAE	pvdR PA2389	PA2389	Pyoverdine export membrane fusion protein PvdR	GO:0002049; GO:0015562; GO:0019898; GO:0042597; GO:1990195; GO:1990281; GO:1990961	pyoverdine biosynthetic process [GO:0002049]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	efflux transmembrane transporter activity [GO:0015562]	efflux pump complex [GO:1990281]; extrinsic component of membrane [GO:0019898]; macrolide transmembrane transporter complex [GO:1990195]; periplasmic space [GO:0042597]
Q9I492	PY2CR_PSEAE	lhpD lhpH PA1252	PA1252	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase (Pyr2C/Pip2C reductase) (EC 1.5.1.21) (Delta(1)-pyrroline-(4S)-hydroxy-2-carboxylate reductase) (Pyr4SH2C reductase) (EC 1.5.1.-) (Proline ketimine reductase)	GO:0006560; GO:0019470; GO:0042802; GO:0042803; GO:0047125; GO:0050241; GO:0070401	proline metabolic process [GO:0006560]; trans-4-hydroxy-L-proline catabolic process [GO:0019470]	delta1-piperideine-2-carboxylate reductase activity [GO:0047125]; identical protein binding [GO:0042802]; NADP+ binding [GO:0070401]; protein homodimerization activity [GO:0042803]; pyrroline-2-carboxylate reductase activity [GO:0050241]	
Q9I4L5	TPBB_PSEAE	tpbB yfiN PA1120	PA1120	Diguanylate cyclase TpbB (DGC) (EC 2.7.7.65)	GO:0005525; GO:0005886; GO:0007165; GO:0046872; GO:0052621; GO:0061939	c-di-GMP signaling [GO:0061939]; signal transduction [GO:0007165]	diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
Q9I609	NIRN_PSEAE	nirN PA0509	PA0509	Dihydro-heme d1 dehydrogenase (EC 1.3.-.-)	GO:0006783; GO:0009055; GO:0016491; GO:0020037; GO:0042597; GO:0046872	heme biosynthetic process [GO:0006783]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	periplasmic space [GO:0042597]
Q9I6H0	APAH2_PSEAE	aphB PA0321	PA0321	Acetylpolyamine amidohydrolase 2 (APAH 2) (EC 3.5.1.-) (Acetylcadaverine deacetylase) (Acetylpolyamine deacetylase) (Acetylputrescine deacetylase) (EC 3.5.1.62)	GO:0004407; GO:0006595; GO:0016787; GO:0040029; GO:0046872; GO:0047609	epigenetic regulation of gene expression [GO:0040029]; polyamine metabolic process [GO:0006595]	acetylputrescine deacetylase activity [GO:0047609]; histone deacetylase activity [GO:0004407]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	
Q9I6N5	P2CDC_PSEAE	hudA PA0254	PA0254	Pyrrole-2-carboxylic acid decarboxylase (P2C decarboxylase) (EC 4.1.1.93) (Ferulic acid decarboxylase-like protein) (Homologous to UbiD protein A) (UbiD-like decarboxylase)	GO:0005737; GO:0005829; GO:0006744; GO:0008694; GO:0034941; GO:0046872	ubiquinone biosynthetic process [GO:0006744]	4-hydroxy-3-polyprenylbenzoate decarboxylase activity [GO:0008694]; metal ion binding [GO:0046872]; pyrrole-2-carboxylate decarboxylase activity [GO:0034941]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
G3XCU9	MEXZ_PSEAE	mexZ PA2020	PA2020	HTH-type transcriptional regulator MexZ (DNA-binding transcriptional repressor MexZ)	GO:0000976; GO:0001217; GO:0003700; GO:0006351; GO:0006355; GO:0032410; GO:0032993; GO:0034763; GO:0045892	DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transmembrane transport [GO:0034763]; negative regulation of transporter activity [GO:0032410]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
G3XCY6	GLTR_PSEAE	gltR PA3192	PA3192	Transcriptional regulatory protein GltR	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0010828; GO:0032993	DNA-templated transcription [GO:0006351]; positive regulation of D-glucose transmembrane transport [GO:0010828]; regulation of DNA-templated transcription [GO:0006355]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
O05927	CYSH_PSEAE	cysH PA1756	PA1756	Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase)	GO:0000103; GO:0004604; GO:0005737; GO:0019344; GO:0019379; GO:0043866; GO:0046872; GO:0051539; GO:0070814	hydrogen sulfide biosynthetic process [GO:0070814]; L-cysteine biosynthetic process [GO:0019344]; sulfate assimilation [GO:0000103]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]	4 iron, 4 sulfur cluster binding [GO:0051539]; adenylyl-sulfate reductase (thioredoxin) activity [GO:0043866]; metal ion binding [GO:0046872]; phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]	cytoplasm [GO:0005737]
P07874	ALGA_PSEAE	algA pmi PA3551	PA3551	Alginate biosynthesis protein AlgA [Includes: Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI); Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) (GDP-mannose pyrophosphorylase) (GMP) (GMPP) (GTP--mannose-1-phosphate guanylyltransferase)]	GO:0004475; GO:0004476; GO:0005525; GO:0009298; GO:0042121	alginic acid biosynthetic process [GO:0042121]; GDP-mannose biosynthetic process [GO:0009298]	GTP binding [GO:0005525]; mannose-1-phosphate guanylyltransferase (GTP) activity [GO:0004475]; mannose-6-phosphate isomerase activity [GO:0004476]	
P11720	TRPI_PSEAE	trpI PA0037	PA0037	HTH-type transcriptional regulator TrpI (TrpBA operon transcriptional activator)	GO:0000162; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0043565; GO:2000284	DNA-templated transcription [GO:0006351]; L-tryptophan biosynthetic process [GO:0000162]; positive regulation of amino acid biosynthetic process [GO:2000284]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	protein-DNA complex [GO:0032993]
P14532	CCPR_PSEAE	ccpA PA4587	PA4587	Cytochrome c551 peroxidase (CCP) (Cytochrome c peroxidase) (EC 1.11.1.5)	GO:0004130; GO:0009055; GO:0020037; GO:0042597; GO:0046872		cytochrome-c peroxidase activity [GO:0004130]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	periplasmic space [GO:0042597]
P14789	LASA_PSEAE	lasA PA1871	PA1871	Protease LasA (EC 3.4.24.-) (Staphylolytic protease)	GO:0004175; GO:0004222; GO:0005615; GO:0006508; GO:0009253; GO:0015628; GO:0043952; GO:0046872	peptidoglycan catabolic process [GO:0009253]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	extracellular space [GO:0005615]
P22608	PILB_PSEAE	pilB PA4526	PA4526	Type IV pilus assembly ATPase PilB	GO:0005524; GO:0005737; GO:0005886; GO:0015031; GO:0016887; GO:0043107; GO:0043683; GO:0046872; GO:0048870	cell motility [GO:0048870]; protein transport [GO:0015031]; type IV pilus assembly [GO:0043683]; type IV pilus-dependent motility [GO:0043107]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P22610	LEP4_PSEAE	pilD xcpA PA4528	PA4528	Prepilin leader peptidase/N-methyltransferase (Protein PilD) (Protein secretion protein XCPA) [Includes: Leader peptidase (EC 3.4.23.43) (Prepilin peptidase); N-methyltransferase (EC 2.1.1.-)]	GO:0004190; GO:0005886; GO:0006465; GO:0006480; GO:0008170; GO:0009297; GO:0015627; GO:0043683; GO:0046872	N-terminal protein amino acid methylation [GO:0006480]; pilus assembly [GO:0009297]; signal peptide processing [GO:0006465]; type IV pilus assembly [GO:0043683]	aspartic-type endopeptidase activity [GO:0004190]; metal ion binding [GO:0046872]; N-methyltransferase activity [GO:0008170]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
P52003	MEXR_PSEAE	mexR PA0424	PA0424	Multidrug resistance operon repressor	GO:0000976; GO:0001217; GO:0006351; GO:0032993; GO:0034763; GO:0042802; GO:0045892; GO:0050709	DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of protein secretion [GO:0050709]; negative regulation of transmembrane transport [GO:0034763]	DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
P77915	HEMN_PSEAE	hemN PA1546	PA1546	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	GO:0004109; GO:0005737; GO:0006779; GO:0006782; GO:0046872; GO:0051539; GO:0051989	porphyrin-containing compound biosynthetic process [GO:0006779]; protoporphyrinogen IX biosynthetic process [GO:0006782]	4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen dehydrogenase activity [GO:0051989]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P95434	SCTF_PSEAE	sctF pscF PA1719	PA1719	Type 3 secretion system needle filament protein (T3SS needle filament protein) (Pseudomonas secretion protein F) (Type III needle protein PscF)	GO:0005576; GO:0009986; GO:0030254; GO:0030257	protein secretion by the type III secretion system [GO:0030254]		cell surface [GO:0009986]; extracellular region [GO:0005576]; type III protein secretion system complex [GO:0030257]
Q00512	GSPE_PSEAE	xcpR PA3103	PA3103	Type II secretion system protein E (T2SS protein E) (EC 7.4.2.8) (General secretion pathway protein E) (Protein-secreting ATPase) (Type II traffic warden ATPase)	GO:0005524; GO:0005886; GO:0008564; GO:0015627; GO:0015628; GO:0016887; GO:0046872	protein secretion by the type II secretion system [GO:0015628]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; protein-exporting ATPase activity [GO:0008564]	plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
Q00514	GSPG_PSEAE	xcpT pddA PA3101	PA3101	Type II secretion system core protein G (T2SS core protein G) (General secretion pathway protein G) (PilD-dependent protein PddA)	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]		plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
Q03456	FUR_PSEAE	fur PA4764	PA4764	Ferric uptake regulation protein (Ferric uptake regulator)	GO:0000976; GO:0001217; GO:0003700; GO:0005829; GO:0006351; GO:0008198; GO:0008270; GO:0019290; GO:0032993; GO:0045892; GO:1900705; GO:1901668	DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of siderophore biosynthetic process [GO:1900705]; regulation of superoxide dismutase activity [GO:1901668]; siderophore biosynthetic process [GO:0019290]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; ferrous iron binding [GO:0008198]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
Q05098	PFEA_PSEAE	pfeA PA2688	PA2688	Ferric enterobactin receptor	GO:0009279; GO:0015344; GO:0015891; GO:0019867; GO:0038023; GO:0042912; GO:0042930; GO:0042931; GO:0044718; GO:1903981	enterobactin transport [GO:0042930]; siderophore transmembrane transport [GO:0044718]; siderophore transport [GO:0015891]	colicin transmembrane transporter activity [GO:0042912]; enterobactin binding [GO:1903981]; enterobactin transmembrane transporter activity [GO:0042931]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	cell outer membrane [GO:0009279]; outer membrane [GO:0019867]
Q07806	PBPA_PSEAE	mrcA ponA PA5045	PA5045	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0030288; GO:0046677; GO:0071555	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]
Q51372	ALGX_PSEAE	algX PA3546	PA3546	Alginate biosynthesis protein AlgX (Probable alginate O-acetyltransferase AlgX) (EC 2.3.1.-)	GO:0016746; GO:0042121; GO:0042597; GO:0044010	alginic acid biosynthetic process [GO:0042121]; single-species biofilm formation [GO:0044010]	acyltransferase activity [GO:0016746]	periplasmic space [GO:0042597]
Q9HTJ1	BETB_PSEAE	betB PA5373	PA5373	NAD/NADP-dependent betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	GO:0008802; GO:0019285; GO:0046872	glycine betaine biosynthetic process from choline [GO:0019285]	betaine-aldehyde dehydrogenase (NAD+) activity [GO:0008802]; metal ion binding [GO:0046872]	
Q9HU05	CHMU_PSEAE	aroQ PA5184	PA5184	Monofunctional chorismate mutase (EC 5.4.99.5)	GO:0004106; GO:0009094; GO:0009697; GO:0042597; GO:0042803; GO:0046417	chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]; salicylic acid biosynthetic process [GO:0009697]	chorismate mutase activity [GO:0004106]; protein homodimerization activity [GO:0042803]	periplasmic space [GO:0042597]
