namespace,namespace_name,go_id,go_name,study_count,study_total,background_count,background_total,study_fraction,background_fraction,enrichment_ratio,odds_ratio,p_value,study_locus_tags,study_VFG_IDs,fdr_bh,significant_fdr,minus_log10_fdr
MF,Molecular Function,GO:0016874,ligase activity,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA4225;PA4226,VFG016117;VFG020090,0.07014431992259935,False,1.1540074910810567
MF,Molecular Function,GO:0031177,phosphopantetheine binding,2,30,2,158,0.06666666666666667,0.012658227848101266,5.266666666666667,inf,0.03507215996129968,PA4225;PA4226,VFG016117;VFG020090,0.07014431992259935,False,1.1540074910810567
MF,Molecular Function,GO:0090729,toxin activity,2,30,3,158,0.06666666666666667,0.0189873417721519,3.511111111111111,9.071428571428571,0.09262647374394532,PA0044;PA0844,VFG000157;VFG015168,0.1235019649919271,False,0.9083261324580648
MF,Molecular Function,GO:0005524,ATP binding,2,30,11,158,0.06666666666666667,0.06962025316455696,0.9575757575757576,0.9444444444444444,0.6562936925119163,PA0686;PA5483,VFG000116;VFG040878,0.6562936925119163,False,0.18290176962763088
